City_name,Country,Date,Cloudiness,Lat,Lng,Humidity,Max_Temp,Wind
Batagay-Alyta,RU,1579330531,0,67.8,130.41,78,-26.75,4.79
Mitsamiouli,KM,1579330531,40,-11.38,43.28,79,84.2,13.87
Albany,US,1579330375,1,42.6,-73.97,65,12.0,5.82
Mar del Plata,AR,1579330240,0,-38.0,-57.56,64,62.01,8.01
New Norfolk,AU,1579330532,20,-42.78,147.06,45,63.0,17.22
Punta Arenas,CL,1579330532,75,-53.15,-70.92,76,50.0,18.34
Vardo,NO,1579330532,0,70.37,31.11,61,19.63,6.51
Atuona,PF,1579330533,100,-9.8,-139.03,73,81.9,17.4
Pevek,RU,1579330533,100,69.7,170.31,96,-14.19,3.83
Rikitea,PF,1579330533,0,-23.12,-134.97,81,78.24,17.63
Casa Branca,BR,1579330533,83,-21.77,-47.09,93,64.74,3.67
Puerto Colombia,CO,1579330533,24,10.99,-74.95,39,78.8,13.87
Pirapemas,BR,1579330534,99,-3.73,-44.22,97,72.95,1.72
Jamestown,US,1579330244,75,42.1,-79.24,78,23.0,4.7
Auki,SB,1579330534,90,-8.77,160.7,74,84.15,16.13
Cape Town,ZA,1579330433,20,-33.93,18.42,53,75.0,20.8
Provideniya,RU,1579330534,47,64.38,-173.3,94,2.12,7.45
Bluff,NZ,1579330535,100,-46.6,168.33,55,66.61,6.22
Hilo,US,1579330535,75,19.73,-155.09,69,75.2,10.29
Gloversville,US,1579330535,1,43.05,-74.34,65,10.4,5.82
Ushuaia,AR,1579330535,90,-54.8,-68.3,100,44.6,13.87
Hithadhoo,MV,1579330536,90,-0.6,73.08,76,82.99,14.61
Bredasdorp,ZA,1579330536,100,-34.53,20.04,68,66.99,14.99
Hobart,AU,1579330449,20,-42.88,147.33,45,63.0,17.22
Bodmin,GB,1579330465,33,50.47,-4.72,86,37.4,6.93
Almenara,BR,1579330537,38,-16.18,-40.69,93,70.09,0.2
Kapaa,US,1579330537,90,22.08,-159.32,68,71.6,21.92
Nardaran,AZ,1579330537,75,40.56,50.01,75,42.8,29.97
Faanui,PF,1579330537,83,-16.48,-151.75,78,82.04,19.51
Manbij,SY,1579330538,75,36.53,37.95,85,41.0,8.93
Bikapur,IN,1579330538,1,26.6,82.13,65,68.9,0.89
Poum,NC,1579330538,0,-20.23,164.02,78,79.56,17.54
Sapa,PH,1579330538,1,5.15,120.32,72,83.37,5.61
Hasaki,JP,1579330538,75,35.73,140.83,86,39.2,17.22
Nome,US,1579330539,1,64.5,-165.41,55,6.8,8.05
Xiongyue,CN,1579330539,30,40.18,122.12,40,32.18,6.2
Bethel,US,1579330539,1,41.37,-73.41,40,19.99,9.17
Tuktoyaktuk,CA,1579330539,5,69.45,-133.04,84,-2.2,17.22
Butaritari,KI,1579330539,100,3.07,172.79,78,84.45,13.33
Snaase,NO,1579330540,100,64.25,12.38,98,27.5,5.28
Baruun-Urt,MN,1579330540,97,46.68,113.28,92,3.72,7.92
Mataura,NZ,1579330540,100,-46.19,168.86,65,69.6,8.7
Calvinia,ZA,1579330540,46,-31.47,19.78,56,73.4,6.93
Benguela,AO,1579330540,88,-12.58,13.41,74,78.87,1.19
Biak,ID,1579330541,100,-0.91,122.88,79,83.77,12.06
Padang,ID,1579330300,72,-0.95,100.35,63,84.38,0.96
Zhezkazgan,KZ,1579330541,90,47.8,67.71,100,21.2,8.95
San Policarpo,PH,1579330541,2,12.18,125.51,80,81.9,7.02
Hatillo,PR,1579330542,40,18.49,-66.83,86,73.0,3.36
Qaanaaq,GL,1579330542,0,77.48,-69.36,62,-16.22,8.5
Leshukonskoye,RU,1579330542,14,64.9,45.76,95,3.67,1.3
Arraial do Cabo,BR,1579330542,98,-22.97,-42.03,76,74.91,16.17
Longyearbyen,SJ,1579330523,90,78.22,15.64,84,8.6,8.05
Hermanus,ZA,1579330543,99,-34.42,19.23,74,69.01,7.0
Chui,UY,1579330543,0,-33.7,-53.46,69,59.77,4.63
Mehamn,NO,1579330543,0,71.04,27.85,75,12.78,9.8
Barrow,US,1579330544,1,71.29,-156.79,70,1.4,4.7
Hualmay,PE,1579330544,60,-11.1,-77.61,89,66.54,3.22
Marawi,PH,1579330544,0,8.0,124.29,76,82.99,5.99
Port Alfred,ZA,1579330535,100,-33.59,26.89,98,68.0,15.32
San Jeronimo,PE,1579330545,49,-11.95,-75.28,90,36.9,2.1
Gogrial,SS,1579330545,56,8.53,28.1,22,73.04,11.3
Konstanz,DE,1579330545,100,47.66,9.18,93,39.99,3.36
Vila Franca do Campo,PT,1579330545,40,37.72,-25.43,93,62.6,5.82
Hobyo,SO,1579330545,42,5.35,48.53,55,80.47,22.37
Fortuna,US,1579330546,1,40.6,-124.16,89,50.0,12.75
Tansen,NP,1579330546,1,27.87,83.55,50,61.09,4.32
Busselton,AU,1579330546,0,-33.65,115.33,19,82.99,10.71
Saint George,US,1579330547,1,37.1,-113.58,68,37.0,4.7
Grindavik,IS,1579330547,75,63.84,-22.43,74,30.2,2.24
Saint-Philippe,RE,1579330547,100,-21.36,55.77,62,87.8,6.93
Broome,US,1579330547,1,42.25,-75.83,100,12.99,1.81
Cidreira,BR,1579330547,0,-30.18,-50.21,61,71.28,13.78
Pamekasan,ID,1579330548,9,-7.16,113.47,55,88.21,4.34
Thompson,CA,1579330548,75,55.74,-97.86,76,-9.4,9.17
Kibala,TD,1579330548,26,9.11,18.35,45,64.4,9.17
Saldanha,ZA,1579330548,9,-33.01,17.94,56,71.6,11.41
Samarai,PG,1579330548,1,-10.62,150.67,56,90.03,4.76
Arlit,NE,1579330505,27,18.74,7.39,38,57.49,10.67
Gamboma,CG,1579330549,100,-1.88,15.86,69,76.39,1.54
Castro,BR,1579330549,84,-24.79,-50.01,93,57.88,6.35
Saskylakh,RU,1579330549,99,71.92,114.08,92,-2.27,9.98
Northam,GB,1579330549,1,51.03,-4.22,100,35.01,2.24
Lebu,CL,1579330550,0,-37.62,-73.65,85,56.82,4.74
Avarua,CK,1579330550,100,-21.21,-159.78,94,80.6,12.75
Pochutla,MX,1579330550,11,15.74,-96.47,66,81.84,8.37
Carnarvon,AU,1579330550,0,-24.87,113.63,62,87.8,19.46
Sri Aman,MY,1579330550,75,1.24,111.46,66,89.6,3.36
Leningradskiy,RU,1579330551,98,69.38,178.42,100,-8.97,5.1
Vao,NC,1579330551,0,-22.67,167.48,78,77.52,19.98
Vaini,TO,1579330551,100,-21.2,-175.2,94,80.15,24.02
Khandagayty,RU,1579330552,100,50.73,92.05,85,-2.72,2.28
Alboraya,ES,1579330322,95,39.5,-0.35,75,53.01,8.05
Porto-Novo,BJ,1579330552,40,6.5,2.6,94,80.6,3.36
Ponta do Sol,PT,1579330552,40,32.67,-17.1,82,59.0,3.36
Puerto Ayora,EC,1579330553,48,-0.74,-90.35,62,75.99,4.81
Sola,VU,1579330553,67,-13.88,167.55,71,83.25,6.96
Port Elizabeth,ZA,1579330553,40,-33.92,25.57,68,69.8,9.17
Kavieng,PG,1579330553,16,-2.57,150.8,75,85.08,27.92
'Ahuimanu,US,1579330553,75,21.44,-157.84,64,73.4,17.22
Liwale,TZ,1579330554,100,-9.77,37.93,89,75.34,8.7
East London,ZA,1579330554,75,-33.02,27.91,88,71.6,9.17
Geraldton,AU,1579330554,30,-28.77,114.6,61,80.6,26.4
Saint-Pierre,RE,1579330554,100,-21.34,55.48,62,87.8,6.93
Balgazyn,RU,1579330554,100,51.0,95.2,89,7.03,1.21
Sangmelima,CM,1579330555,100,2.93,11.98,85,71.08,3.15
Arrondissement de Saintes,FR,1579330555,82,45.67,-0.75,93,39.2,5.82
Tiksi,RU,1579330555,99,71.69,128.87,84,-9.8,12.71
Lezajsk,PL,1579330555,100,50.26,22.42,92,30.99,5.82
Mehendiganj,BD,1579330556,0,22.82,90.53,42,77.38,5.99
Alyangula,AU,1579330556,16,-13.85,136.42,44,98.6,5.82
Nanortalik,GL,1579330556,100,60.14,-45.24,61,26.55,16.13
Bilibino,RU,1579330557,90,68.05,166.44,86,-18.18,3.89
Kiryat Gat,IL,1579330262,75,31.61,34.76,82,57.2,8.05
Yellowknife,CA,1579330557,5,62.46,-114.35,66,-29.0,5.82
Quatre Cocos,MU,1579330504,75,-20.21,57.76,79,84.2,10.29
Soligalich,RU,1579330557,100,59.08,42.29,97,33.37,7.02
Erdenet,MN,1579330558,4,49.03,104.08,78,1.74,4.72
Iquique,CL,1579330558,79,-20.22,-70.14,83,69.8,6.93
Lavrentiya,RU,1579330558,22,65.58,-171.0,86,-1.12,4.79
Mauranwan,IN,1579330558,90,26.43,80.88,100,57.2,2.24
Ostrovnoy,RU,1579330559,61,68.05,39.51,97,4.28,8.59
Yangi Marg`ilon,UZ,1579330559,0,40.43,71.72,64,33.8,2.24
Ust-Nera,RU,1579330559,83,64.57,143.2,100,-41.42,1.79
Ajdabiya,LY,1579330559,5,30.76,20.23,65,60.78,19.19
Road Town,VG,1579330559,20,18.42,-64.62,69,77.0,6.93
Katsuura,JP,1579330560,75,35.13,140.3,93,37.99,16.11
Quelimane,MZ,1579330504,40,-17.88,36.89,94,82.4,6.93
Rome,US,1579330560,1,43.21,-75.46,77,10.0,3.36
Ternuvate,UA,1579330560,0,47.83,36.13,92,26.6,6.71
Cayenne,GF,1579330337,90,4.93,-52.33,94,77.0,5.84
Windhoek,NA,1579330281,7,-22.56,17.08,56,73.4,1.12
Sangar,RU,1579330561,98,63.92,127.47,91,-19.01,9.13
Souillac,MU,1579330561,75,-20.52,57.52,79,84.2,10.29
Kalaleh,IR,1579330561,90,37.38,55.49,75,46.4,4.7
Bonavista,CA,1579330561,100,48.65,-53.11,88,25.14,56.86
Chokurdakh,RU,1579330562,75,70.63,147.92,91,-22.29,2.89
Mount Gambier,AU,1579330562,59,-37.83,140.77,47,75.2,16.11
Petauke,ZM,1579330562,100,-14.24,31.33,98,68.16,5.55
Lusambo,CD,1579330562,99,-4.97,23.45,95,71.11,2.53
Kaitangata,NZ,1579330563,100,-46.28,169.85,64,66.99,13.58
Smolenka,RU,1579330563,3,52.14,113.5,70,-0.4,2.24
Malpe,IN,1579330563,20,13.35,74.72,52,87.8,4.7
Omsukchan,RU,1579330563,100,62.53,155.8,99,-22.67,3.04
Severo-Kuril'sk,RU,1579330564,93,50.68,156.12,85,15.73,17.69
San Luis,AR,1579330564,37,-33.3,-66.34,36,72.46,14.63
Khatanga,RU,1579330564,100,71.97,102.5,96,-2.02,4.94
Gushikawa,JP,1579330564,75,26.35,127.87,63,60.8,21.92
Tomatlan,MX,1579330564,84,19.93,-105.25,55,70.09,3.06
Tandil,AR,1579330565,0,-37.32,-59.13,74,60.01,1.01
Kirakira,SB,1579330565,3,-10.45,161.92,70,83.23,1.79
Buala,SB,1579330565,50,-8.14,159.59,70,84.24,9.62
Karratha,AU,1579330565,45,-20.74,116.85,75,84.99,22.32
Mount Isa,AU,1579330565,0,-20.73,139.5,11,105.8,17.22
Nyagan,RU,1579330566,100,62.14,65.39,93,10.72,8.05
Coquimbo,CL,1579330566,98,-29.95,-71.34,93,59.0,2.24
Bambanglipuro,ID,1579330566,0,-7.95,110.28,56,87.48,9.31
Mumford,GH,1579330566,5,5.26,-0.76,92,75.25,3.85
Talnakh,RU,1579330567,100,69.49,88.4,74,-22.0,13.42
Puri,IN,1579330567,40,19.8,85.85,51,80.6,3.36
Torbay,CA,1579330567,90,47.67,-52.73,92,25.0,58.67
Kozmodemyansk,RU,1579330567,90,56.34,46.57,100,33.8,8.95
Nikolskoye,RU,1579330568,60,59.7,30.79,85,33.01,6.71
Mossamedes,AO,1579330568,84,-15.2,12.15,77,76.39,5.44
Usinsk,RU,1579330569,36,65.99,57.53,93,2.7,11.9
Inongo,CD,1579330569,100,-1.95,18.27,89,75.38,2.33
Kodiak,US,1579330569,90,57.79,-152.41,69,33.8,23.04
Cabo San Lucas,MX,1579330569,5,22.89,-109.91,59,69.01,9.17
Upernavik,GL,1579330569,23,72.79,-56.15,67,-11.15,5.95
Mangrol,IN,1579330570,0,21.12,70.12,49,68.23,14.03
Cherskiy,RU,1579330570,100,68.75,161.3,85,-20.92,1.7
College,US,1579330570,1,64.86,-147.8,74,3.2,1.88
Ancud,CL,1579330570,0,-41.87,-73.82,87,51.8,9.17
Sinnai,IT,1579330571,20,39.3,9.2,71,51.8,4.7
Genhe,CN,1579330571,67,50.78,121.52,84,2.37,1.77
Philadelphia,US,1579330354,1,39.95,-75.16,52,23.0,5.12
Srandakan,ID,1579330571,0,-7.94,110.25,56,87.48,9.31
Tasiilaq,GL,1579330571,20,65.61,-37.64,66,14.0,5.37
Bentiu,SS,1579330572,62,9.23,29.83,20,75.97,11.59
Kangema,KE,1579330572,93,-0.68,36.97,71,66.0,1.99
Portland,US,1579330500,90,45.52,-122.68,93,42.01,16.11
Riyadh,SA,1579330369,7,24.69,46.72,27,59.0,9.17
Benghazi,LY,1579330572,8,32.12,20.07,62,58.84,15.88
Price,US,1579330573,1,39.6,-110.81,72,18.0,10.29
Sur,OM,1579330573,0,22.57,59.53,46,68.63,11.9
Narsaq,GL,1579330573,100,60.92,-46.05,78,17.6,4.7
Starosubkhangulovo,RU,1579330573,92,53.1,57.44,96,19.49,2.48
Peniche,PT,1579330574,75,39.36,-9.38,100,61.0,14.99
Isiro,CD,1579330574,91,2.77,27.62,64,75.2,0.85
Caravelas,BR,1579330574,0,-17.71,-39.25,82,79.07,12.17
Tucuma,BR,1579330574,100,-0.18,-50.05,91,77.09,7.78
Kuvandyk,RU,1579330574,100,51.48,57.36,96,20.89,7.09
Muncar,ID,1579330575,0,-8.43,114.33,70,84.06,2.01
Kutum,SD,1579330575,57,14.2,24.67,40,53.62,4.27
Keroka,KE,1579330575,99,-0.78,34.95,83,65.19,0.81
Port Hardy,CA,1579330575,90,50.7,-127.42,84,32.0,40.26
Piopio,NZ,1579330575,88,-38.47,175.02,83,68.0,1.99
Khovd,MN,1579330372,100,48.01,91.64,57,13.12,4.03
Arequipa,PE,1579330576,75,-16.4,-71.53,77,60.8,4.09
Riwaka,NZ,1579330576,0,-41.08,173.0,44,69.01,1.99
Santa Cruz Cabralia,BR,1579330576,20,-16.28,-39.02,88,75.2,4.7
Tombouctou,ML,1579330446,4,20.0,-3.0,40,55.0,13.4
Jumla,NP,1579330577,82,29.27,82.18,99,30.47,3.2
Kyra,RU,1579330577,80,49.58,111.98,76,9.21,1.72
Sinnamary,GF,1579330577,82,5.38,-52.95,81,79.45,14.76
Malindi,KE,1579330578,100,-3.22,40.12,69,81.16,9.31
Codrington,AU,1579330578,46,-38.27,141.97,88,62.91,18.99
Goure,NE,1579330578,0,13.98,10.27,40,61.0,8.99
Gizo,SB,1579330578,22,-8.1,156.84,80,79.86,13.82
Gisborne,NZ,1579330578,98,-38.65,178.0,82,64.0,8.01
Hofn,IS,1579330579,14,64.25,-15.21,48,39.43,18.77
Taltal,CL,1579330579,46,-25.4,-70.48,91,61.48,5.37
Luau,AO,1579330579,100,-10.71,22.22,95,67.73,5.53
Novoagansk,RU,1579330580,79,61.94,76.66,94,-2.18,15.68
Ayagoz,KZ,1579330580,100,47.97,80.44,92,17.17,19.19
Karaman,TR,1579330580,99,37.08,33.25,96,22.19,11.92
George Town,MY,1579330496,20,5.41,100.34,55,91.4,9.17
Guerrero Negro,MX,1579330580,11,27.98,-114.06,81,58.35,8.3
Sena Madureira,BR,1579330581,98,-9.07,-68.66,98,72.43,2.24
Rawson,AR,1579330581,11,-43.3,-65.1,75,62.53,22.28
Iralaya,HN,1579330581,18,15.0,-83.23,76,80.83,20.56
Ballina,AU,1579330581,90,-28.87,153.57,94,77.0,9.17
Benavente,ES,1579330581,90,42.0,-5.68,93,35.6,3.36
Talara,PE,1579330582,89,-4.58,-81.27,92,69.91,16.67
Berdigestyakh,RU,1579330582,91,62.1,126.7,97,2.84,3.06
Belmonte,BR,1579330582,20,-15.86,-38.88,88,75.2,4.7
Nizhniy Kuranakh,RU,1579330582,100,58.84,125.49,94,6.89,5.48
Yinzhu,CN,1579330583,40,35.88,119.98,64,39.99,2.24
Cockburn Town,TC,1579330583,42,21.46,-71.14,76,76.17,21.63
Gornopravdinsk,RU,1579330583,65,60.05,69.9,87,4.75,9.75
Harper,LR,1579330583,0,4.38,-7.72,96,75.2,2.17
Haines Junction,CA,1579330583,0,60.75,-137.51,95,-26.48,5.3
Vestmannaeyjar,IS,1579330584,69,63.44,-20.27,63,38.21,5.26
Ugoofaaru,MV,1579330584,32,5.67,73.0,77,82.53,19.04
Puerto Lopez,CO,1579330584,16,4.08,-72.96,86,75.02,2.89
Sao Joao da Barra,BR,1579330584,100,-21.64,-41.05,87,74.16,17.96
Pacific Grove,US,1579330304,1,36.62,-121.92,86,46.0,6.8
Tornio,FI,1579330585,90,65.85,24.13,92,28.4,5.82
Bengkulu,ID,1579330585,100,-3.8,102.27,69,83.52,3.09
Mundo Nuevo (Ojo de Agua),MX,1579330585,33,18.7,-95.5,96,69.67,2.19
Zhangjiakou,CN,1579330553,100,40.81,114.88,86,15.98,5.77
Lompoc,US,1579330586,1,34.64,-120.46,93,51.01,3.36
Bambous Virieux,MU,1579330586,75,-20.34,57.76,79,84.2,10.29
Mahebourg,MU,1579330586,75,-20.41,57.7,79,84.2,10.29
Charters Towers,AU,1579330586,34,-20.1,146.27,25,96.58,13.24
Meulaboh,ID,1579330586,85,4.14,96.13,68,84.07,4.85
Antofagasta,CL,1579330587,6,-23.65,-70.4,88,66.2,3.36
Saint-Francois,FR,1579330587,75,46.42,3.91,92,39.0,2.24
Acapulco de Juarez,MX,1579330441,40,16.86,-99.89,83,77.0,2.24
Dumas,US,1579330587,1,35.87,-101.97,59,48.2,12.75
Dikson,RU,1579330588,100,73.51,80.55,98,-8.82,9.98
Umm Lajj,SA,1579330588,59,25.02,37.27,60,62.35,8.05
Adrar,MR,1579330588,0,20.5,-10.07,34,55.02,15.43
Faya,SA,1579330588,23,18.39,42.45,23,62.6,5.82
Green River,US,1579330588,1,41.53,-109.47,66,12.2,14.99
Chimbote,PE,1579330589,97,-9.09,-78.58,85,68.63,3.38
Kautokeino,NO,1579330589,100,69.01,23.04,85,6.82,2.42
Clarence Town,AU,1579330589,90,-32.58,151.78,88,71.01,14.99
Bay Roberts,CA,1579330589,90,47.6,-53.26,92,25.0,31.29
Aklavik,CA,1579330590,5,68.22,-135.01,70,-2.2,2.24
Andra,RU,1579330590,100,62.51,65.89,94,13.66,7.45
Salalah,OM,1579330308,20,17.02,54.09,47,75.2,4.7
Oyem,GA,1579330590,78,1.6,11.58,92,69.53,3.47
Neveklov,CZ,1579330591,75,49.75,14.53,93,35.01,1.12
Nova Olimpia,BR,1579330591,52,-14.8,-57.29,98,72.95,2.35
Bac Lieu,VN,1579330591,16,9.29,105.72,51,88.97,13.56
Tilichiki,RU,1579330591,34,60.47,166.1,83,-3.6,5.75
Ghugus,IN,1579330591,59,19.93,79.13,46,80.89,7.43
Onufriyivka,UA,1579330592,0,48.91,33.45,90,30.97,1.72
Rocha,UY,1579330592,0,-34.48,-54.33,76,52.88,5.82
Oistins,BB,1579330592,75,13.07,-59.53,74,78.8,14.99
Calella,ES,1579330593,90,41.62,2.67,93,52.0,3.36
Sandwick,GB,1579330593,40,60.0,-1.25,65,44.6,28.86
